58577988,3kcfE,1,train
16678242,3v2aR,1,train
118274383,3tniB,1,train
11563410,4bdtA,1,train
24754379,3mptA,1,train
86766794,3v2aR,1,train
89476943,3dh4D,1,train
117793218,2ac3A,1,train
3240649,2ocfA,0,dev
1076653,5o0tA,0,train
70982965,4fl2A,1,dev
2296002,4ekuA,0,test
58190485,2uzyD,1,train
3242935,6b73B,0,dev
61834439,2c75B,1,train
3242053,1qkmA,0,test
3239062,3ttjA,0,train
44143376,4amtA,1,train
68181883,3ibjB,1,train
11705942,3e4cB,0,train
23648192,2vqmA,0,train
3153302,4g9jB,0,dev
118159253,3v2yA,1,train
44382729,3v4vD,1,train
3654817,2mzzA,0,train
46830336,6bqhA,0,test
4875293,2q4rA,0,train
512832,2m65A,0,train
12980713,5i6zA,1,train
60142748,4fl2A,1,test
119098894,4fl2A,1,dev
1093796,2d1iB,0,dev
58548022,4dffB,0,train
50940253,2psqB,1,dev
68170085,3v2aR,1,train
11584228,4iwqA,1,dev
5329051,3v2aR,1,train
46948433,4gzaH,0,train
807549,2qw4D,0,train
68004759,1evtD,1,train
76098,3tkiA,0,train
44143448,5va2A,0,train
71586277,4rxzB,0,train
25067502,4kjgB,0,train
1484372,3eayA,0,train
112500250,2xa0B,1,train
46178939,4rpvA,1,train
12517702,1hfqA,0,train
11339029,3e00D,1,train
91970643,2pb7A,0,train
86703054,5kcvA,1,test
872991,4e9mF,0,train
11715767,2uzyD,0,train
92044750,4qpaB,1,train
66768339,3repA,1,train
68754133,5v48B,1,train
9973586,3bjcA,1,train
44344124,5lmkA,0,train
11620410,4liqE,1,train
9917706,5xprA,1,train
58547102,4dffB,1,train
89719965,4xxbB,1,train
11844487,2hckB,1,test
5308835,2c0yA,0,train
118599392,6ej3A,1,train
91618201,2ifgB,1,train
91896717,4logB,0,dev
56645857,4ejnA,1,test
71537867,4dffB,1,train
71008623,4xi2A,1,train
118797832,5u2hB,1,train
51001119,3v2aR,1,train
90654464,3qs9H,1,train
86689220,3v2aR,1,train
68005600,2psqB,1,train
66548888,3qs9H,1,train
11134644,5u6jH,1,train
11463839,4udcA,1,train
25023794,4a69B,1,train
71077045,2xq2A,1,train
58881789,2xs0A,0,train
91799572,4md8H,1,train
91928591,3lxlA,1,train
71488840,3ibjB,1,train
54771744,5uiwA,1,train
